name,quantity,description,image
Peanut Butter,6 oz,Organic,/healthy-steps-hawaii-recipes/images/peanut-butter.jpg
Canned Chicken,6 oz,Organic,/healthy-steps-hawaii-recipes/images/canned-chicken.jpg
Canned Tuna,6 oz,Organic,/healthy-steps-hawaii-recipes/images/canned-tuna.jpg
Canned Black Beans,6 oz,Organic,/healthy-steps-hawaii-recipes/images/canned-black-beans.jpg
Canned Garbanzo Beans,6 oz,Organic,/healthy-steps-hawaii-recipes/images/canned-garbanzo-beans.jpg
Canned Green Beans,6 oz,No added preservatives,/healthy-steps-hawaii-recipes/images/canned-green-beans.jpg
Canned Pinto Beans,6 oz,Organic,/healthy-steps-hawaii-recipes/images/canned-pinto-beans.jpg
Pasta,16 oz,Dry durum wheat pasta,/healthy-steps-hawaii-recipes/images/pasta.jpg
Pasta Sauce,24 oz,Tomato and herb blend,/healthy-steps-hawaii-recipes/images/pasta-sauce.jpg
Canned Corn,6 oz,Non-GMO,/healthy-steps-hawaii-recipes/images/canned-corn.jpg
Canned Peas,6 oz,Low sodium,/healthy-steps-hawaii-recipes/images/canned-peas.jpg
Canned Carrots,6 oz,Diced and lightly salted,/healthy-steps-hawaii-recipes/images/canned-carrots.jpg
Canned Mixed Vegetables,6 oz,No added preservatives,/healthy-steps-hawaii-recipes/images/canned-mixed-vegetables.jpg
Chicken Broth,32 oz,Low sodium and organic,/healthy-steps-hawaii-recipes/images/chicken-broth.jpg
Beef Broth,32 oz,Rich flavor and organic,/healthy-steps-hawaii-recipes/images/beef-broth.jpg
Vegetable Broth,32 oz,Organic and gluten-free,/healthy-steps-hawaii-recipes/images/vegetable-broth.jpg
Canned Tomato,15 oz,Crushed and peeled,/healthy-steps-hawaii-recipes/images/canned-tomato.jpg
Spaghetti,16 oz,Traditional Italian pasta,/healthy-steps-hawaii-recipes/images/spaghetti.jpg
Rice,32 oz,White long-grain rice,/healthy-steps-hawaii-recipes/images/rice.jpg
Olive Oil,16 oz,Extra virgin and cold-pressed,/healthy-steps-hawaii-recipes/images/olive-oil.jpg
Curry Powder,4 oz,Aromatic spice blend,/healthy-steps-hawaii-recipes/images/curry-powder.jpg
Soda Crackers,14 oz,Crispy and lightly salted,/healthy-steps-hawaii-recipes/images/soda-crackers.jpg
